"category","location_type","n_genes","n_DEGs","pct_DEG","mean_log2FC","median_log2FC","sd_log2FC"
"Shared_TEAD1_dominant","Distal_Enhancer",547,331,60.51,-0.211394776000098,-0.195797551088622,1.67258397068415
"Shared_TEAD1_dominant","Promoter",272,187,68.75,-0.68615154414999,-0.513829021649419,1.61407490647852
"Shared_TEAD1_dominant","Proximal_Enhancer",285,166,58.25,-0.358717968290131,-0.179893594856832,1.70685304049711
"Shared_TES_dominant","Distal_Enhancer",594,341,57.41,-0.146369935826263,-0.131006421176571,1.6666146140192
"Shared_TES_dominant","Promoter",309,222,71.84,-0.492183358392494,-0.457944312860946,1.68276195574329
"Shared_TES_dominant","Proximal_Enhancer",316,193,61.08,-0.245860190689687,-0.0646418100649425,1.55064652954905
"Shared_equivalent","Distal_Enhancer",362,214,59.12,0.0061706530075811,-0.0648179707461067,1.83494590897122
"Shared_equivalent","Promoter",144,82,56.94,-0.737898658253508,-0.390399257999498,1.65546560816657
"Shared_equivalent","Proximal_Enhancer",198,122,61.62,-0.21050261513588,-0.112216242856905,1.60094531744329
"Shared_high","Distal_Enhancer",416,240,57.69,-0.112381683593959,-0.135574770587533,1.58142442098601
"Shared_high","Promoter",332,220,66.27,-0.545077415011144,-0.501503037987564,1.66115223583222
"Shared_high","Proximal_Enhancer",227,138,60.79,-0.0679922156320979,-0.0869679294320246,1.74593908687289
"TEAD1_unique","Distal_Enhancer",1608,887,55.16,0.0594661314650806,0.0265544362648613,1.60809321692363
"TEAD1_unique","Promoter",2208,1330,60.24,-0.267890855261686,-0.177334634287478,1.48091024562905
"TEAD1_unique","Proximal_Enhancer",1241,662,53.34,-0.00517522803840609,-0.0434883790285264,1.48845364362432
"TES_unique","Distal_Enhancer",1348,744,55.19,0.0141462316728657,-0.0186840455453815,1.61884872508854
"TES_unique","Promoter",1001,629,62.84,-0.280309388770479,-0.177529008427908,1.5204761433372
"TES_unique","Proximal_Enhancer",867,531,61.25,-0.196467538681467,-0.0510362416371059,1.61972878941641
